 basic :--,Audi
0,"https://www.automobile.fr//Voiture/Abarth-500C-Scheckheft,Wartung-Neu,T%C3%9CV/vhc:car,ms1:140__,dmg:false/pg:vipcar/309687502.html"
1,"https://www.automobile.fr//Voiture/Abarth-124-Spider-Licht-SensorPaket/vhc:car,ms1:140__,dmg:false/pg:vipcar/309685041.html"
2,"https://www.automobile.fr//Voiture/Abarth-500-Autobianchi/vhc:car,ms1:140__,dmg:false/pg:vipcar/294086027.html"
3,"https://www.automobile.fr//Voiture/Abarth-500-Cabrio-AUT.-XEN-TEMPO-MULTI-LEDER/vhc:car,ms1:140__,dmg:false/pg:vipcar/304140961.html"
4,"https://www.automobile.fr//Voiture/Abarth-595-Yamaha-Monster-Energy/vhc:car,ms1:140__,dmg:false/pg:vipcar/309678644.html"
5,"https://www.automobile.fr//Voiture/Abarth-Abarth-595-1.4-Turbo-T-Jet-145-CV/vhc:car,ms1:140__,dmg:false/pg:vipcar/309678554.html"
6,"https://www.automobile.fr//Voiture/Abarth-595C-595C-Scorpione-Oro-1.4-T-Jet-121/vhc:car,ms1:140__,dmg:false/pg:vipcar/307239831.html"
7,"https://www.automobile.fr//Voiture/Abarth-595C-Scorpione-Oro-Cabrio/vhc:car,ms1:140__,dmg:false/pg:vipcar/306876369.html"
8,"https://www.automobile.fr//Voiture/Abarth-595-Scorpione-Oro/vhc:car,ms1:140__,dmg:false/pg:vipcar/306133991.html"
9,"https://www.automobile.fr//Voiture/Abarth-595-MY19-Turismo-1.4-T-Jet-121-KW/vhc:car,ms1:140__,dmg:false/pg:vipcar/302869732.html"
,AC
0,"https://www.automobile.fr//Voiture/AC-AC-Cobra-MG-Replica/vhc:car,ms1:203__,dmg:false/pg:vipcar/309540179.html"
1,"https://www.automobile.fr//Voiture/AC-AC-Cobra-z-1965r.-302ci-5,0L-325KM-manual/vhc:car,ms1:203__,dmg:false/pg:vipcar/309097359.html"
2,"https://www.automobile.fr//Voiture/AC-Acm-Altri-modelli-Punto-1.3-mjt-Lounge-s-s/vhc:car,ms1:203__,dmg:false/pg:vipcar/308344635.html"
3,"https://www.automobile.fr//Voiture/AC-AC-Cobra-MkIII-427-5.7-V8-330HP-REPLICA/vhc:car,ms1:203__,dmg:false/pg:vipcar/308123518.html"
4,"https://www.automobile.fr//Voiture/AC-Cobra-427-Replica-with-brand-new-LS3-Euro6/vhc:car,ms1:203__,dmg:false/pg:vipcar/307877133.html"
5,"https://www.automobile.fr//Voiture/AC-Cobra-427-Replica-new-6.2-LS3-EURO-6/vhc:car,ms1:203__,dmg:false/pg:vipcar/307840054.html"
6,"https://www.automobile.fr//Voiture/AC-427-Shelby-Cobra-Lizenzbau-5,7-Liter-V8/vhc:car,ms1:203__,dmg:false/pg:vipcar/296539226.html"
7,"https://www.automobile.fr//Voiture/AC-Cobra-TRIBUTE-Pelgrim-Sumo-V6-1971-RALLY/vhc:car,ms1:203__,dmg:false/pg:vipcar/307158566.html"
8,"https://www.automobile.fr//Voiture/AC-427-Shelby-Cobra/vhc:car,ms1:203__,dmg:false/pg:vipcar/306918512.html"
9,"https://www.automobile.fr//Voiture/AC-Bristol-D2/vhc:car,ms1:203__,dmg:false/pg:vipcar/306707043.html"
,Acura
0,"https://www.automobile.fr//Voiture/Acura-NSX/vhc:car,ms1:375__,dmg:false/pg:vipcar/309193323.html"
1,"https://www.automobile.fr//Voiture/Acura-NSX-3.5-Twin-Turbo-Hybrid/vhc:car,ms1:375__,dmg:false/pg:vipcar/309187117.html"
2,"https://www.automobile.fr//Voiture/Acura-2021-TLX-TECH-2.0L-SH-AWD-4-Zylinder/vhc:car,ms1:375__,dmg:false/pg:vipcar/308492701.html"
3,"https://www.automobile.fr//Voiture/Acura-2021-TLX-Platinum-Elite-2.0L-SH-AWD/vhc:car,ms1:375__,dmg:false/pg:vipcar/308476967.html"
4,"https://www.automobile.fr//Voiture/Acura-RSX-Type-S-Honda-Integra-DC5-K20A2/vhc:car,ms1:375__,dmg:false/pg:vipcar/307250658.html"
5,"https://www.automobile.fr//Voiture/Acura-TL/vhc:car,ms1:375__,dmg:false/pg:vipcar/305851663.html"
6,"https://www.automobile.fr//Voiture/Acura-RDX/vhc:car,ms1:375__,dmg:false/pg:vipcar/305506203.html"
7,"https://www.automobile.fr//Voiture/Acura-NEU-2020-RLX-3.5L-Elite-Hybrid/vhc:car,ms1:375__,dmg:false/pg:vipcar/300227814.html"
8,"https://www.automobile.fr//Voiture/Acura-ILX-2.4-L,-4-Zylinder,-MODELL-2020/vhc:car,ms1:375__,dmg:false/pg:vipcar/292807284.html"
9,"https://www.automobile.fr//Voiture/Acura-NSX/vhc:car,ms1:375__,dmg:false/pg:vipcar/284918162.html"
,Aixam
0,"https://www.automobile.fr//Voiture/Aixam-Coup%C3%A9-GTI/vhc:car,ms1:800__,dmg:false/pg:vipcar/309682747.html"
1,"https://www.automobile.fr//Voiture/Aixam-City-GTO-Emotion-Bundesw.-Lieferung/vhc:car,ms1:800__,dmg:false/pg:vipcar/308958132.html"
2,"https://www.automobile.fr//Voiture/Aixam-Crossline/vhc:car,ms1:800__,dmg:false/pg:vipcar/309212058.html"
3,"https://www.automobile.fr//Voiture/Aixam-Coupe-01-2015-6350km-45-km-h-wei%C3%9F/vhc:car,ms1:800__,dmg:false/pg:vipcar/309627007.html"
4,"https://www.automobile.fr//Voiture/Aixam-City-Sport/vhc:car,ms1:800__,dmg:false/pg:vipcar/309599480.html"
5,"https://www.automobile.fr//Voiture/Aixam-500.4-Super-Luxe-Mopedauto-Microcar-45/vhc:car,ms1:800__,dmg:false/pg:vipcar/309552938.html"
6,"https://www.automobile.fr//Voiture/Aixam-Coupe-GTI-R%C3%BCckf.Kamera-Parkhilfe-hinten/vhc:car,ms1:800__,dmg:false/pg:vipcar/308277599.html"
7,"https://www.automobile.fr//Voiture/Aixam-City/vhc:car,ms1:800__,dmg:false/pg:vipcar/309479263.html"
8,"https://www.automobile.fr//Voiture/Aixam-Pro-D-Truck-600-Van,-wei%C3%9F,-Elektrik/vhc:car,ms1:800__,dmg:false/pg:vipcar/309466012.html"
9,"https://www.automobile.fr//Voiture/Aixam-Coupe-GTI-45-km-h-Category-L6E/vhc:car,ms1:800__,dmg:false/pg:vipcar/309462606.html"
,Alfa Romeo
0,"https://www.automobile.fr//Voiture/Alfa-Romeo-Stelvio-2.0l-16V-Turbo-Super-20/vhc:car,ms1:900__,dmg:false/pg:vipcar/309687682.html"
1,"https://www.automobile.fr//Voiture/Alfa-Romeo-MiTo-Super/vhc:car,ms1:900__,dmg:false/pg:vipcar/309687614.html"
2,"https://www.automobile.fr//Voiture/Alfa-Romeo-Spider-2.0-JTS-16V-Klimaautomatik/vhc:car,ms1:900__,dmg:false/pg:vipcar/302564932.html"
3,"https://www.automobile.fr//Voiture/Alfa-Romeo-Stelvio-2.0l-16V-Turbo-Super/vhc:car,ms1:900__,dmg:false/pg:vipcar/309687112.html"
4,"https://www.automobile.fr//Voiture/Alfa-Romeo-Stelvio-2.0l-16V-Turbo-Super/vhc:car,ms1:900__,dmg:false/pg:vipcar/309686974.html"
5,"https://www.automobile.fr//Voiture/Alfa-Romeo-146-1.4-OHNE-TYPENSCHEIN-NUR/vhc:car,ms1:900__,dmg:false/pg:vipcar/274580836.html"
