 basic :--,Audi
2,"https://www.automobile.fr//Voiture/Daewoo-Matiz-0.8-SE-T%C3%9CV-NEU-ZAHNRIEMEN-NEU/vhc:car,ms1:6800__,dmg:false/pg:vipcar/309655963.html"
3,"https://www.automobile.fr//Voiture/Daewoo-DAEWOO-KALOS-EZ08-108tkm-3HAND/vhc:car,ms1:6800__,dmg:false/pg:vipcar/309654598.html"
4,"https://www.automobile.fr//Voiture/Daewoo-Daewoo-Matiz/vhc:car,ms1:6800__,dmg:false/pg:vipcar/309653628.html"
5,"https://www.automobile.fr//Voiture/Daewoo-Kalos-1.4-SX/vhc:car,ms1:6800__,dmg:false/pg:vipcar/309649557.html"
6,"https://www.automobile.fr//Voiture/Daewoo-Daewoo-Kalos-1.2-Cat-72-Cv-5-Porte/vhc:car,ms1:6800__,dmg:false/pg:vipcar/309649466.html"
7,"https://www.automobile.fr//Voiture/Daewoo-Daewoo-Truck-Plus-1.9-Diesel-4p.-Pl/vhc:car,ms1:6800__,dmg:false/pg:vipcar/309649325.html"
8,"https://www.automobile.fr//Voiture/Daewoo-Rezzo-2.0-CDX/vhc:car,ms1:6800__,dmg:false/pg:vipcar/308837371.html"
9,"https://www.automobile.fr//Voiture/Daewoo-Daewoo-Rezzo-LPG-Autogas/vhc:car,ms1:6800__,dmg:false/pg:vipcar/309639334.html"
,Daihatsu
0,"https://www.automobile.fr//Voiture/Daihatsu-Cuore-1.0-Premium-automatik-A.S./vhc:car,ms1:7000__,dmg:false/pg:vipcar/309686983.html"
1,"https://www.automobile.fr//Voiture/Daihatsu-Daihatsu-Cuore-mit-T%C3%9CV-bis-06-22-und/vhc:car,ms1:7000__,dmg:false/pg:vipcar/309685352.html"
2,"https://www.automobile.fr//Voiture/Daihatsu-Daihatsu-Cuore-T%C3%9CV-Neu-bis-Ende-2022/vhc:car,ms1:7000__,dmg:false/pg:vipcar/309682877.html"
3,"https://www.automobile.fr//Voiture/Daihatsu-Daihatsu-Cuore/vhc:car,ms1:7000__,dmg:false/pg:vipcar/309682113.html"
4,"https://www.automobile.fr//Voiture/Daihatsu-Daihatsu-Sirion/vhc:car,ms1:7000__,dmg:false/pg:vipcar/309681086.html"
5,"https://www.automobile.fr//Voiture/Daihatsu-Terios-1.5-Top-S-4WD-Winterr%C3%A4der/vhc:car,ms1:7000__,dmg:false/pg:vipcar/293296218.html"
6,"https://www.automobile.fr//Voiture/Daihatsu-Terios-1.5-Top-4WD-Neue/vhc:car,ms1:7000__,dmg:false/pg:vipcar/292995876.html"
7,"https://www.automobile.fr//Voiture/Daihatsu-Terios-1.5-Top-4WD-Automatik-WR-AZV/vhc:car,ms1:7000__,dmg:false/pg:vipcar/298942373.html"
8,"https://www.automobile.fr//Voiture/Daihatsu-Sirion-1.3-ECO-4WD-Winterr%C3%A4der/vhc:car,ms1:7000__,dmg:false/pg:vipcar/294829160.html"
9,"https://www.automobile.fr//Voiture/Daihatsu-Sirion-1.3-ECO-4WD-Automatik-WR/vhc:car,ms1:7000__,dmg:false/pg:vipcar/294518673.html"
,DeTomaso
0,"https://www.automobile.fr//Voiture/DeTomaso-874/vhc:car,ms1:7400__,dmg:false/pg:vipcar/309615575.html"
1,"https://www.automobile.fr//Voiture/DeTomaso-De-Tomaso-Deauville-5.8-V8-270cv/vhc:car,ms1:7400__,dmg:false/pg:vipcar/309111148.html"
2,"https://www.automobile.fr//Voiture/DeTomaso-Pantera/vhc:car,ms1:7400__,dmg:false/pg:vipcar/308997452.html"
3,"https://www.automobile.fr//Voiture/DeTomaso-Pantera-gt5/vhc:car,ms1:7400__,dmg:false/pg:vipcar/308914800.html"
4,"https://www.automobile.fr//Voiture/DeTomaso-Longchamp-GTS-V8-5.7L-367HP/vhc:car,ms1:7400__,dmg:false/pg:vipcar/308751741.html"
5,"https://www.automobile.fr//Voiture/DeTomaso-Pantera-GTS-dt.-Fzg.-Topzustand-H/vhc:car,ms1:7400__,dmg:false/pg:vipcar/294208932.html"
6,"https://www.automobile.fr//Voiture/DeTomaso-Pantera/vhc:car,ms1:7400__,dmg:false/pg:vipcar/308584992.html"
7,"https://www.automobile.fr//Voiture/DeTomaso-Pantera/vhc:car,ms1:7400__,dmg:false/pg:vipcar/307914279.html"
8,"https://www.automobile.fr//Voiture/DeTomaso-Pantera/vhc:car,ms1:7400__,dmg:false/pg:vipcar/307613711.html"
9,"https://www.automobile.fr//Voiture/DeTomaso-De-Tomaso-Longchamp-PARI-AL-NUOVO/vhc:car,ms1:7400__,dmg:false/pg:vipcar/307310418.html"
,Dodge
0,"https://www.automobile.fr//Voiture/Dodge-CHALLENGER-SRT8-HEMi-392-KAMERA-NAVi/vhc:car,ms1:7700__,dmg:false/pg:vipcar/291349897.html"
1,"https://www.automobile.fr//Voiture/Dodge-Challenger-350-mit-H-Zulassung/vhc:car,ms1:7700__,dmg:false/pg:vipcar/309686383.html"
2,"https://www.automobile.fr//Voiture/Dodge-Challenger-SXT-REDLINE-AUTOMATIK-LEDER/vhc:car,ms1:7700__,dmg:false/pg:vipcar/309685530.html"
3,"https://www.automobile.fr//Voiture/Dodge-Charger-3.5-V6-Unfallfrei-Reifen-NEU/vhc:car,ms1:7700__,dmg:false/pg:vipcar/309683419.html"
4,"https://www.automobile.fr//Voiture/Dodge-RAM-5.7-V8-HEMI-1500-Sport-4x4-Garantie/vhc:car,ms1:7700__,dmg:false/pg:vipcar/309682231.html"
5,"https://www.automobile.fr//Voiture/Dodge-RAM-1500-Laramie-5.7Hemi-4x4-CrewCab/vhc:car,ms1:7700__,dmg:false/pg:vipcar/309682128.html"
6,"https://www.automobile.fr//Voiture/Dodge-RAM-5.7-V8-HEMI-Sport-4x4-Garantie/vhc:car,ms1:7700__,dmg:false/pg:vipcar/309681369.html"
7,"https://www.automobile.fr//Voiture/Dodge-Challenger-RT-V6-3.7-A-T-Unfallfrei/vhc:car,ms1:7700__,dmg:false/pg:vipcar/308959156.html"
8,"https://www.automobile.fr//Voiture/Dodge-RAM-1500-Crew-Cab-TRX-6.2-V8-HEMI/vhc:car,ms1:7700__,dmg:false/pg:vipcar/309676391.html"
9,"https://www.automobile.fr//Voiture/Dodge-Charger-6.4-V8-SRT8-SuperBee-LPG/vhc:car,ms1:7700__,dmg:false/pg:vipcar/309674694.html"
,Donkervoort
0,"https://www.automobile.fr//Voiture/Donkervoort-D8-GTO-40-Jahre-Edition/vhc:car,ms1:255__,dmg:false/pg:vipcar/309660947.html"
1,"https://www.automobile.fr//Voiture/Donkervoort-D8-GTO-40-Donkervoort-M%C3%BCnchen/vhc:car,ms1:255__,dmg:false/pg:vipcar/305809196.html"
2,"https://www.automobile.fr//Voiture/Donkervoort-D8-GTO-Performance-Donkervoort/vhc:car,ms1:255__,dmg:false/pg:vipcar/298156142.html"
3,"https://www.automobile.fr//Voiture/Donkervoort-D8-GTO-40/vhc:car,ms1:255__,dmg:false/pg:vipcar/309287259.html"
4,"https://www.automobile.fr//Voiture/Donkervoort-D8-2.0-Cosworth-Sport-240pk/vhc:car,ms1:255__,dmg:false/pg:vipcar/293426856.html"
5,"https://www.automobile.fr//Voiture/Donkervoort-Rennwagen-oder-Stra%C3%9Fe-mit-H/vhc:car,ms1:255__,dmg:false/pg:vipcar/308800969.html"
6,"https://www.automobile.fr//Voiture/Donkervoort-S8-2.4-DOPPELWEBER-H-KENNZEICHEN,/vhc:car,ms1:255__,dmg:false/pg:vipcar/308551953.html"
7,"https://www.automobile.fr//Voiture/Donkervoort-D8-Carbon-Recently-Serviced/vhc:car,ms1:255__,dmg:false/pg:vipcar/306564294.html"
8,"https://www.automobile.fr//Voiture/Donkervoort-D8-2.0-Zetec-Cup/vhc:car,ms1:255__,dmg:false/pg:vipcar/308090657.html"
9,"https://www.automobile.fr//Voiture/Donkervoort-D8-270-RS-Intercooler-E-Gas/vhc:car,ms1:255__,dmg:false/pg:vipcar/285265056.html"
,DS Automobiles
0,"https://www.automobile.fr//Voiture/DS-Automobiles-DS3-CROSSBACK-DS3-Crossback-So/vhc:car,ms1:235__,dmg:false/pg:vipcar/309682005.html"
1,"https://www.automobile.fr//Voiture/DS-Automobiles-DS3-CROSSBACK-DS3-Crossback/vhc:car,ms1:235__,dmg:false/pg:vipcar/309681434.html"
2,"https://www.automobile.fr//Voiture/DS-Automobiles-Ds-ds-5/vhc:car,ms1:235__,dmg:false/pg:vipcar/309679897.html"
3,"https://www.automobile.fr//Voiture/DS-Automobiles-DS3-PureTech-130-Start-Stop/vhc:car,ms1:235__,dmg:false/pg:vipcar/309678187.html"
4,"https://www.automobile.fr//Voiture/DS-Automobiles-DS3-Crossback-PureTech-130/vhc:car,ms1:235__,dmg:false/pg:vipcar/309653796.html"
5,"https://www.automobile.fr//Voiture/DS-Automobiles-DS3-Crossback-PureTech-130/vhc:car,ms1:235__,dmg:false/pg:vipcar/309653738.html"
6,"https://www.automobile.fr//Voiture/DS-Automobiles-DS3-Crossback-PureTech-130/vhc:car,ms1:235__,dmg:false/pg:vipcar/309653675.html"
7,"https://www.automobile.fr//Voiture/DS-Automobiles-DS3-Crossback-PureTech-130/vhc:car,ms1:235__,dmg:false/pg:vipcar/309653609.html"
8,"https://www.automobile.fr//Voiture/DS-Automobiles-DS3-Crossback-PureTech-130/vhc:car,ms1:235__,dmg:false/pg:vipcar/309653549.html"
9,"https://www.automobile.fr//Voiture/DS-Automobiles-DS3-Crossback-PureTech-130/vhc:car,ms1:235__,dmg:false/pg:vipcar/309653485.html"
,Ferrari
0,"https://www.automobile.fr//Voiture/Ferrari-GTC4Lusso-6.3-V12-DCT/vhc:car,ms1:8600__,dmg:false/pg:vipcar/309686284.html"
1,"https://www.automobile.fr//Voiture/Ferrari-Portofino-3.9-V8-HELE-Passenger/vhc:car,ms1:8600__,dmg:false/pg:vipcar/309686131.html"
2,"https://www.automobile.fr//Voiture/Ferrari-Portofino-3.9-V8-HELE-Atelier-Car/vhc:car,ms1:8600__,dmg:false/pg:vipcar/309685249.html"
3,"https://www.automobile.fr//Voiture/Ferrari-F430/vhc:car,ms1:8600__,dmg:false/pg:vipcar/309684304.html"
4,"https://www.automobile.fr//Voiture/Ferrari-California-T-Garantie-1.-Hand/vhc:car,ms1:8600__,dmg:false/pg:vipcar/294951675.html"
5,"https://www.automobile.fr//Voiture/Ferrari-348-Spider/vhc:car,ms1:8600__,dmg:false/pg:vipcar/309679526.html"
6,"https://www.automobile.fr//Voiture/Ferrari-488-GTB-Coup%C3%A9-DCT,-Carbon-RaceSeats/vhc:car,ms1:8600__,dmg:false/pg:vipcar/307594305.html"
7,"https://www.automobile.fr//Voiture/Ferrari-GTC4Lusso-6.3-V12-DCT/vhc:car,ms1:8600__,dmg:false/pg:vipcar/294458994.html"
8,"https://www.automobile.fr//Voiture/Ferrari-SF90-Stradale-Q2-2021-FREE/vhc:car,ms1:8600__,dmg:false/pg:vipcar/309677413.html"
9,"https://www.automobile.fr//Voiture/Ferrari-Ferrari-812-Superfast-Vollausstattung/vhc:car,ms1:8600__,dmg:false/pg:vipcar/276192257.html"
,Fiat
0,"https://www.automobile.fr//Voiture/Fiat-Fiat-Ducato-Pritsche-Maxi-7Sitzer/vhc:car,ms1:8800__,dmg:false/pg:vipcar/309687749.html"
1,"https://www.automobile.fr//Voiture/Fiat-Tipo-1.4-Street/vhc:car,ms1:8800__,dmg:false/pg:vipcar/309687743.html"
2,"https://www.automobile.fr//Voiture/Fiat-Fiat-Panda-an-Bastler/vhc:car,ms1:8800__,dmg:false/pg:vipcar/309687736.html"
3,"https://www.automobile.fr//Voiture/Fiat-500-1.2-Lounge-APPLECP-KLIMAAUTO-15Z-7/vhc:car,ms1:8800__,dmg:false/pg:vipcar/309549642.html"
4,"https://www.automobile.fr//Voiture/Fiat-500-1.2-Lounge-APPLECP-KLIMAAUTO-15Z-7/vhc:car,ms1:8800__,dmg:false/pg:vipcar/309529349.html"
5,"https://www.automobile.fr//Voiture/Fiat-500X-URBAN-1.0-Firefly-RADIO-SHZ/vhc:car,ms1:8800__,dmg:false/pg:vipcar/309166755.html"
6,"https://www.automobile.fr//Voiture/Fiat-500X-URBAN-1.0-Firefly-RADIO-SHZ/vhc:car,ms1:8800__,dmg:false/pg:vipcar/309098230.html"
7,"https://www.automobile.fr//Voiture/Fiat-500-1.0-GSE-N3-Hybrid-STAR/vhc:car,ms1:8800__,dmg:false/pg:vipcar/309687643.html"
8,"https://www.automobile.fr//Voiture/Fiat-500C-1.0-Hybrid-GSE-STAR-PDCH-KLIMAA-DAB/vhc:car,ms1:8800__,dmg:false/pg:vipcar/308702534.html"
9,"https://www.automobile.fr//Voiture/Fiat-Cinquecento-Turbo/vhc:car,ms1:8800__,dmg:false/pg:vipcar/309687636.html"
,Fisker
0,"https://www.automobile.fr//Voiture/Fisker-Karma-Navi-Xenon-Parktronic-Leder/vhc:car,ms1:172__,dmg:false/pg:vipcar/286026679.html"
1,"https://www.automobile.fr//Voiture/Fisker-Karma-Ecosport-408-HP-39,000-km/vhc:car,ms1:172__,dmg:false/pg:vipcar/308990083.html"
2,"https://www.automobile.fr//Voiture/Fisker-Fisker-Karma-ECOSPORT-EVER-7.900KM/vhc:car,ms1:172__,dmg:false/pg:vipcar/302857602.html"
3,"https://www.automobile.fr//Voiture/Fisker-Karma-ES-Eco-Sport/vhc:car,ms1:172__,dmg:false/pg:vipcar/308548045.html"
4,"https://www.automobile.fr//Voiture/Fisker-Karma-Earth-Diamond-Dust/vhc:car,ms1:172__,dmg:false/pg:vipcar/308208416.html"
5,"https://www.automobile.fr//Voiture/Fisker-Karma-Ecosport,-1.Hd,-Limit.Serie-47/vhc:car,ms1:172__,dmg:false/pg:vipcar/196383135.html"
6,"https://www.automobile.fr//Voiture/Fisker-Karma-Hybrid-Elektro-Benzin-1.-Hd-wie/vhc:car,ms1:172__,dmg:false/pg:vipcar/252861515.html"
7,"https://www.automobile.fr//Voiture/Fisker-Karma-ES/vhc:car,ms1:172__,dmg:false/pg:vipcar/307370270.html"
8,"https://www.automobile.fr//Voiture/Fisker-Karma-EcoSport/vhc:car,ms1:172__,dmg:false/pg:vipcar/305956623.html"
9,"https://www.automobile.fr//Voiture/Fisker-Karma-Ecosport/vhc:car,ms1:172__,dmg:false/pg:vipcar/284440518.html"
,Ford
0,"https://www.automobile.fr//Voiture/Ford-Focus-1.6-EcoBoost-Tur.-Titanium-2.Hand/vhc:car,ms1:9000__,dmg:false/pg:vipcar/307065111.html"
1,"https://www.automobile.fr//Voiture/Ford-Ford-Mondeo-2.0-TDI-Ghia-Automatik/vhc:car,ms1:9000__,dmg:false/pg:vipcar/309687777.html"
2,"https://www.automobile.fr//Voiture/Ford-Ford-Galaxy-1,9-TDI,-7-Sitzer,-EZ-10/vhc:car,ms1:9000__,dmg:false/pg:vipcar/309687775.html"
3,"https://www.automobile.fr//Voiture/Ford-Ford-fiesta/vhc:car,ms1:9000__,dmg:false/pg:vipcar/309687763.html"
4,"https://www.automobile.fr//Voiture/Ford-Ford-fiesta-eco-boost-start-stop-125ps/vhc:car,ms1:9000__,dmg:false/pg:vipcar/309687733.html"
5,"https://www.automobile.fr//Voiture/Ford-Edge-4x4-Vignale-LED-Sync3-SplitView/vhc:car,ms1:9000__,dmg:false/pg:vipcar/307581191.html"
6,"https://www.automobile.fr//Voiture/Ford-Ford-Galaxy-2.0-tdci-140-ps-7-Sitzer/vhc:car,ms1:9000__,dmg:false/pg:vipcar/309687705.html"
7,"https://www.automobile.fr//Voiture/Ford-Ford-Focus-Ghia-Kombi-1.6-TDCI-T%C3%9CV-06-21/vhc:car,ms1:9000__,dmg:false/pg:vipcar/309687683.html"
8,"https://www.automobile.fr//Voiture/Ford-Ford-Mondeo-Kombi-1,8-Hubraum,-T%C3%9CV-01-22/vhc:car,ms1:9000__,dmg:false/pg:vipcar/309687610.html"
9,"https://www.automobile.fr//Voiture/Ford-Fiesta-1.1-Cool-Sound-Trend-EU-6d-T-Nav/vhc:car,ms1:9000__,dmg:false/pg:vipcar/309687579.html"
,GAC Gonow
0,"https://www.automobile.fr//Voiture/GAC-Gonow-Gac-Gonow-GA200-2.0-EcoMode-Gpl-DC/vhc:car,ms1:205__,dmg:false/pg:vipcar/309643216.html"
1,"https://www.automobile.fr//Voiture/GAC-Gonow-WAY/vhc:car,ms1:205__,dmg:false/pg:vipcar/308610975.html"
2,"https://www.automobile.fr//Voiture/GAC-Gonow-Gac-Gonow-GA200-2.0-EcoMode-Gpl-DC/vhc:car,ms1:205__,dmg:false/pg:vipcar/305710957.html"
3,"https://www.automobile.fr//Voiture/GAC-Gonow-way-foodtruck/vhc:car,ms1:205__,dmg:false/pg:vipcar/301598047.html"
,Gemballa
0,"https://www.automobile.fr//Voiture/Gemballa-GT-Cabriolet-D-Fzg/vhc:car,ms1:204__,dmg:false/pg:vipcar/308340575.html"
1,"https://www.automobile.fr//Voiture/Gemballa-911-Turbo-Coupe-996-AVALANCHE-P800/vhc:car,ms1:204__,dmg:false/pg:vipcar/286551373.html"
2,"https://www.automobile.fr//Voiture/Gemballa-SEC-W126-6.0-AMG-SGS-RESTAURIERT-H/vhc:car,ms1:204__,dmg:false/pg:vipcar/304597877.html"
3,"https://www.automobile.fr//Voiture/Gemballa-Mirage-GT/vhc:car,ms1:204__,dmg:false/pg:vipcar/261632808.html"
4,"https://www.automobile.fr//Voiture/Gemballa-GTR-650-Evo-Avalanche/vhc:car,ms1:204__,dmg:false/pg:vipcar/301002945.html"
5,"https://www.automobile.fr//Voiture/Gemballa-GT-750-Aero-3/vhc:car,ms1:204__,dmg:false/pg:vipcar/238868191.html"
6,"https://www.automobile.fr//Voiture/Gemballa-Mirage-GT-one-of-25/vhc:car,ms1:204__,dmg:false/pg:vipcar/281638869.html"
7,"https://www.automobile.fr//Voiture/Gemballa-GT-550-AERO-3/vhc:car,ms1:204__,dmg:false/pg:vipcar/272598863.html"
,GMC
0,"https://www.automobile.fr//Voiture/GMC-Savana/vhc:car,ms1:9900__,dmg:false/pg:vipcar/309626724.html"
1,"https://www.automobile.fr//Voiture/GMC-Sierra-6.2-V8-1500-Denali-Unfallfrei/vhc:car,ms1:9900__,dmg:false/pg:vipcar/305941270.html"
2,"https://www.automobile.fr//Voiture/GMC-Yukon/vhc:car,ms1:9900__,dmg:false/pg:vipcar/309532787.html"
3,"https://www.automobile.fr//Voiture/GMC-Envoy/vhc:car,ms1:9900__,dmg:false/pg:vipcar/309530519.html"
4,"https://www.automobile.fr//Voiture/GMC-Sierra-SLE-PickUp-SingleCab-LKW-Zulassung/vhc:car,ms1:9900__,dmg:false/pg:vipcar/309527706.html"
5,"https://www.automobile.fr//Voiture/GMC-Suburban-5,7-Liter-V8-orig.-5.800-Meilen/vhc:car,ms1:9900__,dmg:false/pg:vipcar/269477088.html"
6,"https://www.automobile.fr//Voiture/GMC-Yukon-XL-Denali-4X4-VOLL-V8-BILDSCHIRM/vhc:car,ms1:9900__,dmg:false/pg:vipcar/309500046.html"
7,"https://www.automobile.fr//Voiture/GMC-Sierra-K-2500/vhc:car,ms1:9900__,dmg:false/pg:vipcar/309481787.html"
8,"https://www.automobile.fr//Voiture/GMC-Sierra-1500-Custum/vhc:car,ms1:9900__,dmg:false/pg:vipcar/309460975.html"
9,"https://www.automobile.fr//Voiture/GMC-Sierra-Classic-2500-C-20-PICKUP-Truck,-V8/vhc:car,ms1:9900__,dmg:false/pg:vipcar/309436399.html"
,Grecav
0,"https://www.automobile.fr//Voiture/Grecav-Grecav-EKE-Stile-L/vhc:car,ms1:122__,dmg:false/pg:vipcar/309005904.html"
1,"https://www.automobile.fr//Voiture/Grecav-EKE-MOPED-AUTO/vhc:car,ms1:122__,dmg:false/pg:vipcar/308851590.html"
2,"https://www.automobile.fr//Voiture/Grecav-GRECAV-Altri-Modelli/vhc:car,ms1:122__,dmg:false/pg:vipcar/308259910.html"
3,"https://www.automobile.fr//Voiture/Grecav-Aluminium-Mopedauto-Leichtmobile/vhc:car,ms1:122__,dmg:false/pg:vipcar/307706553.html"
4,"https://www.automobile.fr//Voiture/Grecav-Grecav-Pickup-Pick-up-Mopedauto/vhc:car,ms1:122__,dmg:false/pg:vipcar/307171140.html"
5,"https://www.automobile.fr//Voiture/Grecav-EKE-Luxe-Mopedauto-Leichtmobile/vhc:car,ms1:122__,dmg:false/pg:vipcar/291900373.html"
6,"https://www.automobile.fr//Voiture/Grecav-Grecav-eke-xl/vhc:car,ms1:122__,dmg:false/pg:vipcar/300745222.html"
,Hamann
0,"https://www.automobile.fr//Voiture/Hamann-Hamann-Guardian-EVO/vhc:car,ms1:186__,dmg:false/pg:vipcar/278309594.html"
1,"https://www.automobile.fr//Voiture/Hamann-HAMANN-X6M-WIDEBODY-INDIVIDUAL-22-NP/vhc:car,ms1:186__,dmg:false/pg:vipcar/306598567.html"
2,"https://www.automobile.fr//Voiture/Hamann-X5-3.0d-Hamann-Motorsport-GmbH/vhc:car,ms1:186__,dmg:false/pg:vipcar/304378477.html"
3,"https://www.automobile.fr//Voiture/Hamann-MAN-Other-TGL-8.180-4X2/vhc:car,ms1:186__,dmg:false/pg:vipcar/304132818.html"
4,"https://www.automobile.fr//Voiture/Hamann-Cayenne-Turbo-Guardian-Exclusiv/vhc:car,ms1:186__,dmg:false/pg:vipcar/281357649.html"
,Holden
0,"https://www.automobile.fr//Voiture/Holden-Vauxhall-VXR8/vhc:car,ms1:10850__,dmg:false/pg:vipcar/305290961.html"
,Honda
0,"https://www.automobile.fr//Voiture/Honda-CR-V-Lifestyle-2WD-Xenon-Alcantara-PDC/vhc:car,ms1:11000__,dmg:false/pg:vipcar/306987893.html"
1,"https://www.automobile.fr//Voiture/Honda-Honda-CRX-Del-Sol-Baujahr-1995-Fast/vhc:car,ms1:11000__,dmg:false/pg:vipcar/309687482.html"
2,"https://www.automobile.fr//Voiture/Honda-Jazz-1.2-Cool-Klima-8-Fach/vhc:car,ms1:11000__,dmg:false/pg:vipcar/309687370.html"
3,"https://www.automobile.fr//Voiture/Honda-Civic-Hybrid-1.3i-DSI-i-VTEC-IMA-CVT/vhc:car,ms1:11000__,dmg:false/pg:vipcar/309687357.html"
4,"https://www.automobile.fr//Voiture/Honda-Honda-Jazz/vhc:car,ms1:11000__,dmg:false/pg:vipcar/309687106.html"
5,"https://www.automobile.fr//Voiture/Honda-HONDA-LOGO-SERVO-T%C3%9CV-ASU-NEU-M-S-RE.../vhc:car,ms1:11000__,dmg:false/pg:vipcar/309687074.html"
6,"https://www.automobile.fr//Voiture/Honda-Honda-Civic-Sport-Einzelst%C3%BCck/vhc:car,ms1:11000__,dmg:false/pg:vipcar/309686626.html"
7,"https://www.automobile.fr//Voiture/Honda-Honda-Civic-1,4-i-Sport/vhc:car,ms1:11000__,dmg:false/pg:vipcar/309686332.html"
8,"https://www.automobile.fr//Voiture/Honda-CR-V-Executive-2.0-Executive-Automatik/vhc:car,ms1:11000__,dmg:false/pg:vipcar/309686217.html"
9,"https://www.automobile.fr//Voiture/Honda-Honda-Accord-CB3-Airride-wenig-km/vhc:car,ms1:11000__,dmg:false/pg:vipcar/309685907.html"
,Hummer
0,"https://www.automobile.fr//Voiture/Hummer-H2-STRETCH-LIMO-V8-6.0-LEDER-SOUND-BAR/vhc:car,ms1:11050__,dmg:false/pg:vipcar/244566480.html"
1,"https://www.automobile.fr//Voiture/Hummer-H3-3,5-Automatik-Leder/vhc:car,ms1:11050__,dmg:false/pg:vipcar/309672315.html"
2,"https://www.automobile.fr//Voiture/Hummer-H1/vhc:car,ms1:11050__,dmg:false/pg:vipcar/309668262.html"
3,"https://www.automobile.fr//Voiture/Hummer-H3-3.5-benzin-4x4,-vin-410/vhc:car,ms1:11050__,dmg:false/pg:vipcar/309654036.html"
4,"https://www.automobile.fr//Voiture/Hummer-H3-General-Motors-GMC-USA-also-DE-AMG./vhc:car,ms1:11050__,dmg:false/pg:vipcar/309653685.html"
5,"https://www.automobile.fr//Voiture/Hummer-H3-5.3-V8-ALPHA-Luxury-Autom./vhc:car,ms1:11050__,dmg:false/pg:vipcar/309621880.html"
6,"https://www.automobile.fr//Voiture/Hummer-H2-6.0-V8-Luxury-black-devil-533ps/vhc:car,ms1:11050__,dmg:false/pg:vipcar/306678228.html"
7,"https://www.automobile.fr//Voiture/Hummer-Hummer-H2-V8-SUV-Luxury,-anno-2005,/vhc:car,ms1:11050__,dmg:false/pg:vipcar/309598417.html"
8,"https://www.automobile.fr//Voiture/Hummer-H3-3.7-Base-Automatik-4x4/vhc:car,ms1:11050__,dmg:false/pg:vipcar/309581184.html"
9,"https://www.automobile.fr//Voiture/Hummer-H2-6.0/vhc:car,ms1:11050__,dmg:false/pg:vipcar/307717793.html"
,Hyundai
0,"https://www.automobile.fr//Voiture/Hyundai-i20-1,2-5T-UEFA-LED-KLIMA-ALU-PDC/vhc:car,ms1:11600__,dmg:false/pg:vipcar/309687793.html"
1,"https://www.automobile.fr//Voiture/Hyundai-i20-1.0-Turbo-Advantage-Plus-NAVI/vhc:car,ms1:11600__,dmg:false/pg:vipcar/309687729.html"
2,"https://www.automobile.fr//Voiture/Hyundai-i10-Classic-Klima/vhc:car,ms1:11600__,dmg:false/pg:vipcar/305765494.html"
3,"https://www.automobile.fr//Voiture/Hyundai-Kona-1.0-T-GDi-Sonderedit.-YES-Plus/vhc:car,ms1:11600__,dmg:false/pg:vipcar/309687607.html"
4,"https://www.automobile.fr//Voiture/Hyundai-i20-1.0-Turbo-Advantage-Plus-NAVI/vhc:car,ms1:11600__,dmg:false/pg:vipcar/309687599.html"
5,"https://www.automobile.fr//Voiture/Hyundai-i20-1.0-Turbo-Advantage-Plus-NAVI/vhc:car,ms1:11600__,dmg:false/pg:vipcar/309687597.html"
6,"https://www.automobile.fr//Voiture/Hyundai-Hyundai-Santa-Fe-LPG-Gas/vhc:car,ms1:11600__,dmg:false/pg:vipcar/309687492.html"
7,"https://www.automobile.fr//Voiture/Hyundai-i30-Trend,Sitz-Lenkradheizung-1.4/vhc:car,ms1:11600__,dmg:false/pg:vipcar/307630276.html"
8,"https://www.automobile.fr//Voiture/Hyundai-i20-1.0-T-GDI-48V-Hybrid-DCT-Trend/vhc:car,ms1:11600__,dmg:false/pg:vipcar/309687399.html"
9,"https://www.automobile.fr//Voiture/Hyundai-Tucson-2.0-GLS-Teilleder-Sitzh./vhc:car,ms1:11600__,dmg:false/pg:vipcar/305244370.html"
,Infiniti
0,"https://www.automobile.fr//Voiture/Infiniti-FX-45-AWD-AUT.-V8-LEDER-SCHUIFDAK/vhc:car,ms1:11650__,dmg:false/pg:vipcar/309679008.html"
1,"https://www.automobile.fr//Voiture/Infiniti-FX-37S/vhc:car,ms1:11650__,dmg:false/pg:vipcar/267596273.html"
2,"https://www.automobile.fr//Voiture/Infiniti-QX50-3,7-V6-NUR-38400KM,WIE-NEU,TUV/vhc:car,ms1:11650__,dmg:false/pg:vipcar/307265822.html"
3,"https://www.automobile.fr//Voiture/Infiniti-QX30-2.0t-DCT-AWD-Premium-360GRAD/vhc:car,ms1:11650__,dmg:false/pg:vipcar/284949267.html"
4,"https://www.automobile.fr//Voiture/Infiniti-QX30-PREMIUM-TECH-2.2d-AWD-AT-170PS/vhc:car,ms1:11650__,dmg:false/pg:vipcar/309673732.html"
5,"https://www.automobile.fr//Voiture/Infiniti-FX30d-AWD-Aut.-Black-and-White/vhc:car,ms1:11650__,dmg:false/pg:vipcar/309664037.html"
6,"https://www.automobile.fr//Voiture/Infiniti-Q30-1.6t-DCT-Business-Executive-115/vhc:car,ms1:11650__,dmg:false/pg:vipcar/309655072.html"
7,"https://www.automobile.fr//Voiture/Infiniti-Infiniti-Q30-2.2d-125-kW-7DCT-AWD/vhc:car,ms1:11650__,dmg:false/pg:vipcar/309652668.html"
